# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
5423.3000 M165 526052 15 539.3000 n133 n0 51 N n133->n120->n3->n4->n261->n267->n246->n265->n255->n260->n258->n238->n256->n242->n241->n0
5441.4000 M150 719739 10 1009.4000 n133 n0 43 N n133->n120->n3->n4->n239->n263->n247->n256->n242->n241->n0
5470.9000 M183 927190 15 41.9000 n38 n0 59 N n38->n26->n1->n259->n264->n267->n261->n252->n245->n4->n239->n263->n247->n256->n244->n0
5505.8000 M184 840578 7 43.8000 n150 n0 59 N n150->n4->n262->n239->n263->n247->n256->n0
5527.8000 M177 736674 13 280.8000 n69 n0 55 N n69->n2->n248->n243->n265->n246->n254->n249->n255->n1->n238->n244->n253->n0
5559.3000 M186 569757 10 41.3000 n132 n0 59 N n132->n14->n119->n3->n262->n250->n257->n239->n263->n247->n0
5589.6000 M181 535256 18 226.6000 n65 n0 56 N n65->n66->n2->n248->n243->n265->n260->n264->n254->n261->n259->n267->n266->n255->n244->n253->n263->n247->n0
5597.0000 M187 717614 10 54.0000 n53 n0 59 N n53->n26->n6->n58->n1->n255->n244->n253->n238->n263->n0
5648.2000 M188 976547 7 75.2000 n25 n0 58 N n25->n24->n1->n251->n241->n257->n238->n0
5728.3000 M191 797020 9 61.3000 n111 n0 58 N n111->n3->n252->n261->n267->n1->n255->n257->n263->n0
5739.7000 M170 502107 9 696.7000 n206 n0 48 N n206->n46->n7->n1->n267->n247->n242->n251->n239->n0
5767.1000 M80 731176 14 3389.1000 n108 n0 3 N n108->n71->n63->n2->n248->n240->n262->n253->n244->n241->n267->n242->n249->n250->n0
5767.9000 M178 988860 19 489.9000 n86 n0 51 N n86->n79->n9->n92->n2->n243->n265->n264->n240->n248->n240->n262->n253->n244->n261->n247->n242->n257->n250->n0
5823.2000 M194 537123 10 67.2000 n153 n0 58 N n153->n155->n3->n4->n254->n241->n1->n242->n258->n255->n0
5851.1000 M193 508399 8 124.1000 n185 n0 57 N n185->n142->n4->n245->n252->n258->n238->n257->n0
5882.5000 M167 949317 18 933.5000 n100 n0 44 N n100->n65->n66->n2->n248->n240->n265->n260->n264->n260->n265->n248->n240->n247->n256->n261->n252->n250->n0
5901.3000 M196 649359 9 92.3000 n51 n0 58 N n51->n22->n8->n30->n1->n242->n258->n263->n267->n0
5941.6000 M161 796114 20 1171.6000 n70 n0 40 N n70->n64->n9->n78->n2->n248->n240->n260->n265->n248->n253->n248->n265->n248->n247->n256->n239->n258->n263->n252->n0
5962.6000 M175 818459 20 773.6000 n100 n0 47 N n100->n65->n66->n2->n248->n240->n260->n265->n264->n260->n244->n243->n246->n265->n256->n239->n263->n249->n251->n255->n0
6042.7000 M199 961777 8 152.7000 n171 n0 57 N n171->n4->n240->n247->n240->n266->n245->n267->n0
6080.9000 M189 984866 17 478.9000 n68 n0 52 N n68->n66->n2->n259->n253->n244->n260->n242->n254->n239->n256->n263->n249->n251->n255->n257->n252->n0
6204.7000 M200 968739 11 286.7000 n138 n0 55 N n138->n17->n119->n3->n241->n239->n264->n1->n243->n240->n246->n0
6355.7000 M202 673392 12 381.7000 n183 n0 53 N n183->n4->n255->n238->n249->n251->n267->n1->n260->n266->n245->n240->n0
6367.0000 M204 866524 9 337.0000 n143 n0 54 N n143->n4->n238->n249->n251->n1->n260->n265->n240->n0
6467.2000 M213 938354 13 172.2000 n124 n0 57 N n124->n14->n15->n3->n256->n263->n239->n259->n253->n250->n238->n264->n260->n0
6594.0000 M198 716894 7 733.0000 n187 n0 47 N n187->n4->n267->n252->n247->n262->n260->n0
6726.7000 M215 712854 6 374.7000 n36 n0 53 N n36->n1->n260->n264->n241->n244->n0
6726.9000 M223 917135 7 141.9000 n46 n0 57 N n46->n8->n1->n260->n264->n241->n244->n0
6809.9000 M219 595653 10 338.9000 n187 n0 54 N n187->n4->n245->n266->n255->n263->n259->n239->n262->n241->n0
6810.0000 M218 664723 13 365.0000 n181 n0 53 N n181->n4->n245->n266->n255->n261->n247->n248->n257->n259->n239->n262->n241->n0
6877.7000 M212 530350 8 613.7000 n185 n0 49 N n185->n142->n4->n246->n247->n263->n259->n239->n0
7093.9000 M237 884992 6 91.9000 n146 n0 58 N n146->n4->n262->n253->n266->n258->n0
7143.1000 M233 755810 9 259.1000 n40 n0 55 N n40->n1->n242->n265->n251->n265->n239->n247->n258->n0
7194.4000 M234 940646 7 282.4000 n58 n0 55 N n58->n7->n44->n1->n251->n257->n247->n0
7194.5000 M240 653769 9 106.5000 n52 n0 58 N n52->n8->n30->n6->n59->n1->n251->n257->n247->n0
7216.0000 M221 852618 19 688.0000 n91 n0 48 N n91->n63->n10->n82->n2->n252->n254->n267->n246->n267->n246->n260->n256->n240->n241->n1->n238->n251->n266->n0
7269.5000 M208 597966 15 1119.5000 n73 n0 41 N n73->n2->n252->n240->n267->n252->n240->n256->n240->n256->n239->n263->n261->n238->n251->n0
7387.2000 M228 664849 8 653.2000 n206 n0 49 N n206->n22->n1->n259->n256->n258->n245->n247->n0
7469.6000 M224 977933 16 857.6000 n158 n0 45 N n158->n19->n157->n4->n3->n242->n243->n262->n240->n262->n255->n258->n250->n266->n247->n238->n0
7469.7000 M206 962621 20 1378.7000 n78 n0 37 N n78->n11->n2->n252->n240->n242->n243->n262->n3->n242->n243->n262->n240->n262->n255->n258->n250->n266->n247->n238->n0
7500.2000 M216 627216 13 1115.2000 n157 n0 41 N n157->n19->n157->n4->n267->n257->n240->n257->n242->n240->n251->n238->n261->n0
