# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
6255.1000 M168 854957 18 1272.1000 n107 n0 38 N n107->n2->n243->n265->n259->n262->n253->n265->n248->n265->n256->n254->n1->n243->n261->n252->n243->n247->n0
6392.3000 M124 729639 25 2731.3000 n92 n0 14 N n92->n9->n2->n243->n265->n259->n262->n253->n265->n248->n265->n256->n254->n1->n238->n264->n249->n241->n264->n241->n250->n253->n266->n260->n243->n0
6392.5000 M198 716894 10 531.5000 n187 n0 51 N n187->n4->n238->n250->n241->n250->n253->n266->n260->n243->n0
6392.7000 M169 798916 23 1379.7000 n69 n0 37 N n69->n11->n2->n243->n265->n259->n262->n253->n265->n248->n265->n246->n243->n246->n243->n256->n4->n238->n250->n253->n266->n260->n243->n0
6430.8000 M200 968739 10 512.8000 n138 n0 51 N n138->n3->n4->n238->n250->n241->n250->n253->n266->n260->n0
6430.9000 M193 508399 10 703.9000 n185 n0 48 N n185->n142->n4->n238->n250->n241->n250->n253->n266->n260->n0
6453.6000 M202 673392 10 479.6000 n183 n0 52 N n183->n4->n238->n250->n241->n257->n254->n247->n243->n260->n0
6453.8000 M177 736674 26 1206.8000 n69 n0 39 N n69->n9->n2->n243->n265->n259->n262->n253->n265->n248->n265->n256->n254->n1->n243->n261->n252->n257->n252->n255->n252->n257->n254->n247->n243->n260->n0
6495.4000 M105 647816 15 3374.4000 n81 n0 3 N n81->n66->n2->n243->n265->n259->n262->n253->n244->n248->n265->n254->n1->n238->n264->n0
6495.6000 M199 961777 7 605.6000 n171 n0 49 N n171->n4->n238->n264->n1->n238->n264->n0
6495.7000 M175 818459 23 1306.7000 n100 n0 38 N n100->n65->n66->n2->n264->n259->n253->n244->n260->n244->n264->n260->n258->n242->n264->n260->n242->n258->n259->n253->n1->n238->n264->n0
6495.9000 M145 631105 14 2212.9000 n97 n0 23 N n97->n2->n243->n265->n259->n262->n253->n244->n248->n265->n254->n1->n238->n264->n0
6496.1000 M204 866524 7 466.1000 n143 n0 52 N n143->n4->n238->n264->n1->n238->n264->n0
6496.3000 M162 739285 26 1700.3000 n73 n0 31 N n73->n2->n264->n254->n255->n249->n240->n249->n240->n248->n240->n248->n240->n259->n240->n262->n259->n262->n253->n244->n248->n265->n254->n1->n238->n264->n0
6778.7000 M210 695690 16 570.7000 n152 n0 50 N n152->n4->n267->n261->n252->n261->n245->n263->n249->n261->n263->n248->n250->n239->n244->n262->n0
6789.8000 M214 555418 14 468.8000 n169 n0 52 N n169->n4->n255->n3->n255->n245->n253->n255->n263->n248->n250->n239->n244->n262->n0
6884.8000 M179 815625 21 1575.8000 n107 n0 33 N n107->n2->n253->n244->n262->n258->n244->n259->n267->n252->n261->n247->n249->n261->n263->n248->n250->n239->n259->n262->n239->n0
6912.1000 M217 909966 14 494.1000 n120 n0 51 N n120->n16->n3->n255->n245->n253->n245->n266->n245->n247->n263->n257->n263->n241->n0
6988.8000 M223 917135 14 403.8000 n46 n0 53 N n46->n7->n1->n249->n258->n249->n258->n244->n243->n238->n254->n244->n258->n257->n0
6989.0000 M218 664723 12 544.0000 n181 n0 50 N n181->n4->n267->n246->n1->n249->n258->n249->n258->n238->n258->n257->n0
6989.2000 M220 742665 15 491.2000 n51 n0 51 N n51->n22->n8->n1->n246->n255->n243->n258->n264->n244->n243->n254->n244->n258->n257->n0
6989.3000 M167 949317 21 2040.3000 n100 n0 25 N n100->n65->n66->n2->n243->n265->n259->n262->n253->n244->n248->n265->n254->n1->n246->n255->n243->n258->n238->n258->n257->n0
7085.9000 M215 712854 12 733.9000 n36 n0 47 N n36->n8->n1->n255->n261->n248->n250->n266->n247->n239->n258->n263->n0
7086.1000 M201 637543 15 1141.1000 n32 n0 40 N n32->n6->n1->n246->n255->n243->n255->n261->n248->n250->n266->n247->n239->n258->n263->n0
7086.2000 M209 624475 21 911.2000 n136 n0 44 N n136->n16->n3->n255->n245->n253->n245->n266->n245->n247->n263->n247->n246->n247->n246->n253->n266->n247->n239->n258->n263->n0
7086.4000 M155 762207 28 2506.4000 n101 n0 18 N n101->n2->n264->n259->n253->n244->n260->n264->n260->n258->n242->n264->n258->n259->n253->n1->n246->n255->n243->n255->n261->n248->n250->n266->n247->n239->n258->n263->n0
7087.3000 M212 530350 18 823.3000 n185 n0 46 N n185->n142->n4->n267->n246->n1->n246->n255->n243->n255->n261->n248->n250->n253->n266->n247->n239->n258->n0
7087.5000 M219 595653 23 616.5000 n187 n0 49 N n187->n4->n255->n3->n255->n245->n253->n245->n253->n247->n263->n257->n263->n257->n245->n246->n247->n246->n253->n266->n247->n239->n258->n0
7087.7000 M213 938354 21 792.7000 n124 n0 46 N n124->n3->n255->n245->n253->n255->n245->n266->n245->n247->n263->n257->n245->n246->n247->n246->n253->n266->n247->n239->n258->n0
7087.9000 M224 977933 11 475.9000 n158 n0 52 N n158->n4->n245->n246->n247->n246->n253->n266->n247->n239->n258->n0
7122.7000 M157 760115 19 2474.7000 n75 n0 18 N n75->n2->n259->n244->n262->n258->n259->n262->n250->n259->n239->n4->n245->n262->n266->n247->n239->n247->n258->n0
7179.1000 M216 627216 9 794.1000 n157 n0 46 N n157->n4->n245->n253->n266->n253->n245->n257->n250->n0
7208.9000 M189 984866 19 1606.9000 n68 n0 33 N n68->n66->n2->n251->n242->n255->n251->n238->n243->n251->n242->n241->n1->n238->n241->n261->n238->n251->n245->n0
7274.2000 M235 769420 15 332.2000 n161 n0 54 N n161->n4->n246->n243->n265->n261->n238->n241->n261->n238->n239->n265->n261->n238->n251->n0
7274.3000 M229 645592 14 515.3000 n99 n0 51 N n99->n69->n2->n252->n240->n256->n264->n240->n256->n240->n265->n261->n238->n251->n0
7274.5000 M222 581369 10 718.5000 n36 n0 48 N n36->n8->n1->n260->n242->n238->n259->n263->n238->n251->n0
7274.7000 M207 976697 15 1151.7000 n73 n0 40 N n73->n2->n251->n249->n256->n255->n256->n264->n240->n256->n240->n265->n261->n238->n251->n0
7275.0000 M178 988860 21 1997.0000 n86 n0 26 N n86->n79->n11->n2->n242->n256->n267->n256->n267->n240->n256->n255->n256->n264->n240->n256->n240->n265->n261->n238->n251->n0
7275.2000 M206 962621 20 1184.2000 n78 n0 40 N n78->n2->n242->n251->n238->n243->n254->n244->n254->n256->n240->n256->n264->n240->n256->n240->n265->n261->n238->n251->n0
7275.4000 M231 590246 17 449.4000 n180 n0 52 N n180->n4->n246->n243->n261->n238->n241->n242->n260->n264->n240->n256->n240->n265->n261->n238->n251->n0
7275.6000 M208 597966 22 1125.6000 n73 n0 41 N n73->n2->n242->n251->n252->n240->n267->n240->n267->n240->n256->n255->n256->n260->n264->n240->n256->n240->n265->n261->n238->n251->n0
7513.1000 M242 544056 10 362.1000 n166 n0 53 N n166->n155->n3->n4->n240->n252->n257->n242->n240->n261->n0
7615.0000 M240 653769 10 527.0000 n52 n0 51 N n52->n8->n1->n259->n255->n258->n255->n266->n255->n240->n0
7726.1000 M233 755810 11 842.1000 n40 n0 45 N n40->n6->n1->n259->n265->n249->n244->n248->n249->n244->n242->n0
7746.7000 M241 672652 13 626.7000 n29 n0 49 N n29->n8->n1->n259->n267->n259->n263->n257->n259->n257->n252->n248->n256->n0
7829.0000 M257 707794 12 248.0000 n179 n0 55 N n179->n4->n245->n263->n259->n263->n254->n267->n246->n240->n255->n242->n0
7930.3000 M227 719872 17 1229.3000 n123 n0 39 N n123->n18->n3->n4->n245->n263->n259->n263->n245->n259->n264->n260->n263->n254->n246->n267->n248->n0
7938.3000 M234 940646 20 1026.3000 n58 n0 42 N n58->n1->n241->n243->n248->n249->n262->n265->n249->n254->n259->n263->n239->n263->n254->n246->n255->n242->n244->n249->n0
